Year,,Winning team,Coach,Games,Winning goal
2023,"(WC) (2, 1–1)",Vegas Golden Knights ,Bruce Cassidy,4–1,Reilly Smith 
2022,"(WC) (3, 3–0)",Colorado Avalanche ,Jared Bednar,4–2,Artturi Lehkonen 
2021,"(4, 3–1)",Tampa Bay Lightning ,Jon Cooper,4–1,Ross Colton 
2020,"(EC) (3, 2–1)",Tampa Bay Lightning ,Jon Cooper,4–2,Brayden Point 
2019,"(WC) (4, 1–3)",St. Louis Blues ,Craig Berube (interim),4–3,Alex Pietrangelo 
2018,"(EC) (2, 1–1)",Washington Capitals ,Barry Trotz,4–1,Lars Eller 
2017,"(EC) (6, 5–1)",Pittsburgh Penguins ,Mike Sullivan,4–2,Patric Hornqvist 
2016,"(EC) (5, 4–1)",Pittsburgh Penguins ,Mike Sullivan,4–2,Kris Letang 
2015,"(WC) (13, 6–7)",Chicago Blackhawks ,Joel Quenneville,4–2,Duncan Keith 
2014,"(WC) (3, 2–1)",Los Angeles Kings ,Darryl Sutter,4–1,Alec Martinez 
2013,"(WC) (12, 5–7)",Chicago Blackhawks ,Joel Quenneville,4–2,Dave Bolland 
2012,"(WC) (2, 1–1)",Los Angeles Kings ,Darryl Sutter,4–2,Jeff Carter 
2011,"(EC) (18, 6–12)",Boston Bruins ,Claude Julien,4–3,Patrice Bergeron 
2010,"(WC) (11, 4–7)",Chicago Blackhawks ,Joel Quenneville,4–2,Patrick Kane 
2009,"(EC) (4, 3–1)",Pittsburgh Penguins ,Dan Bylsma,4–3,Maxime Talbot 
2008,"(WC) (23, 11–12)",Detroit Red Wings ,Mike Babcock,4–2,Henrik Zetterberg 
2007,"(WC) (2, 1–1)",Anaheim Ducks ,Randy Carlyle,4–1,Travis Moen 
2006,"(EC) (2, 1–1)",Carolina Hurricanes ,Peter Laviolette,4–3,Frantisek Kaberle 
2004,"(EC) (1, 1–0",Tampa Bay Lightning ),John Tortorella,4–3,Ruslan Fedotenko 
2003," (EC) (4, 3–1)",New Jersey Devils,Pat Burns,4–3,Michael Rupp 
2002,"(WC) (22, 10–12)",Detroit Red Wings ,Scotty Bowman,4–1,Brendan Shanahan 
2001,"(WC) (2, 2–0)",Colorado Avalanche ,Bob Hartley,4–3,Alex Tanguay 
2000,"(EC) (2, 2–0)",New Jersey Devils ,Larry Robinson (interim),4–2,Jason Arnott 
1999,"(WC) (3, 1–2)",Dallas Stars ,Ken Hitchcock,4–2,Brett Hull 
1998,"(WC) (21, 9–12)",Detroit Red Wings ,Scotty Bowman,4–0,Martin Lapointe 
1997,"(WC) (20, 8–12)",Detroit Red Wings ,Scotty Bowman,4–0,Darren McCarty 
1996,"(WC) (1, 1–0)",Colorado Avalanche ,Marc Crawford,4–0,Uwe Krupp 
1995,"(EC) (1, 1–0)",New Jersey Devils ,Jacques Lemaire,4–0,Neal Broten 
1994,"(EC) (10, 4–6)",New York Rangers,Mike Keenan,4–3,Mark Messier 
1993,"(PW) (34, 24–9)",Montreal Canadiens ,Jacques Demers,4–1,Kirk Muller 
1992,"(PW) (2, 2–0)",Pittsburgh Penguins ,Scotty Bowman,4–0,Ron Francis 
